"reference_date";"series_code";"value";"IsTarget"
2000-01-01 01:00:00;"LNS17100000";2005;0
2000-02-01 01:00:00;"LNS17100000";1784;0
2000-03-01 01:00:00;"LNS17100000";1893;0
2000-04-01 02:00:00;"LNS17100000";1940;0
2000-05-01 02:00:00;"LNS17100000";1660;0
2000-06-01 02:00:00;"LNS17100000";1850;0
2000-07-01 02:00:00;"LNS17100000";1887;0
2000-08-01 02:00:00;"LNS17100000";1831;0
2000-09-01 02:00:00;"LNS17100000";1875;0
2000-10-01 02:00:00;"LNS17100000";1885;0
2000-11-01 01:00:00;"LNS17100000";1709;0
2000-12-01 01:00:00;"LNS17100000";1699;0
2001-01-01 01:00:00;"LNS17100000";1784;0
2001-02-01 01:00:00;"LNS17100000";1831;0
2001-03-01 01:00:00;"LNS17100000";1892;0
2001-04-01 02:00:00;"LNS17100000";1859;0
2001-05-01 02:00:00;"LNS17100000";2034;0
2001-06-01 02:00:00;"LNS17100000";1910;0
2001-07-01 02:00:00;"LNS17100000";1956;0
2001-08-01 02:00:00;"LNS17100000";1914;0
2001-09-01 02:00:00;"LNS17100000";2045;0
2001-10-01 02:00:00;"LNS17100000";1933;0
2001-11-01 01:00:00;"LNS17100000";2121;0
2001-12-01 01:00:00;"LNS17100000";2109;0
2002-01-01 01:00:00;"LNS17100000";2109;0
2002-02-01 01:00:00;"LNS17100000";2332;0
2002-03-01 01:00:00;"LNS17100000";2195;0
2002-04-01 02:00:00;"LNS17100000";2085;0
2002-05-01 02:00:00;"LNS17100000";2130;0
2002-06-01 02:00:00;"LNS17100000";1997;0
2002-07-01 02:00:00;"LNS17100000";2022;0
2002-08-01 02:00:00;"LNS17100000";2184;0
2002-09-01 02:00:00;"LNS17100000";2178;0
2002-10-01 02:00:00;"LNS17100000";2041;0
2002-11-01 01:00:00;"LNS17100000";1959;0
2002-12-01 01:00:00;"LNS17100000";1977;0
2003-01-01 01:00:00;"LNS17100000";2176;0
2003-02-01 01:00:00;"LNS17100000";1966;0
2003-03-01 01:00:00;"LNS17100000";1998;0
2003-04-01 02:00:00;"LNS17100000";2086;0
2003-05-01 02:00:00;"LNS17100000";2048;0
2003-06-01 02:00:00;"LNS17100000";2114;0
2003-07-01 02:00:00;"LNS17100000";2127;0
2003-08-01 02:00:00;"LNS17100000";2127;0
2003-09-01 02:00:00;"LNS17100000";2051;0
2003-10-01 02:00:00;"LNS17100000";2064;0
2003-11-01 01:00:00;"LNS17100000";2120;0
2003-12-01 01:00:00;"LNS17100000";2247;0
2004-01-01 01:00:00;"LNS17100000";2058;0
2004-02-01 01:00:00;"LNS17100000";1984;0
2004-03-01 01:00:00;"LNS17100000";1925;0
2004-04-01 02:00:00;"LNS17100000";2147;0
2004-05-01 02:00:00;"LNS17100000";2088;0
2004-06-01 02:00:00;"LNS17100000";2032;0
2004-07-01 02:00:00;"LNS17100000";2151;0
2004-08-01 02:00:00;"LNS17100000";1996;0
2004-09-01 02:00:00;"LNS17100000";2138;0
2004-10-01 02:00:00;"LNS17100000";2132;0
2004-11-01 01:00:00;"LNS17100000";2154;0
2004-12-01 01:00:00;"LNS17100000";2080;0
2005-01-01 01:00:00;"LNS17100000";2040;0
2005-02-01 01:00:00;"LNS17100000";2052;0
2005-03-01 01:00:00;"LNS17100000";2060;0
2005-04-01 02:00:00;"LNS17100000";2060;0
2005-05-01 02:00:00;"LNS17100000";1979;0
2005-06-01 02:00:00;"LNS17100000";1978;0
2005-07-01 02:00:00;"LNS17100000";1944;0
2005-08-01 02:00:00;"LNS17100000";2119;0
2005-09-01 02:00:00;"LNS17100000";1852;0
2005-10-01 02:00:00;"LNS17100000";1954;0
2005-11-01 01:00:00;"LNS17100000";2052;0
2005-12-01 01:00:00;"LNS17100000";1968;0
2006-01-01 01:00:00;"LNS17100000";2033;0
2006-02-01 01:00:00;"LNS17100000";1824;0
2006-03-01 01:00:00;"LNS17100000";1952;0
2006-04-01 02:00:00;"LNS17100000";1977;0
2006-05-01 02:00:00;"LNS17100000";1997;0
2006-06-01 02:00:00;"LNS17100000";2022;0
2006-07-01 02:00:00;"LNS17100000";2012;0
2006-08-01 02:00:00;"LNS17100000";2075;0
2006-09-01 02:00:00;"LNS17100000";2081;0
2006-10-01 02:00:00;"LNS17100000";1881;0
2006-11-01 01:00:00;"LNS17100000";1932;0
2006-12-01 01:00:00;"LNS17100000";2077;0
2007-01-01 01:00:00;"LNS17100000";1945;0
2007-02-01 01:00:00;"LNS17100000";2125;0
2007-03-01 01:00:00;"LNS17100000";2088;0
2007-04-01 02:00:00;"LNS17100000";1851;0
2007-05-01 02:00:00;"LNS17100000";1981;0
2007-06-01 02:00:00;"LNS17100000";1753;0
2007-07-01 02:00:00;"LNS17100000";1900;0
2007-08-01 02:00:00;"LNS17100000";1975;0
2007-09-01 02:00:00;"LNS17100000";1910;0
2007-10-01 02:00:00;"LNS17100000";1907;0
2007-11-01 01:00:00;"LNS17100000";1956;0
2007-12-01 01:00:00;"LNS17100000";1951;0
2008-01-01 01:00:00;"LNS17100000";2034;0
2008-02-01 01:00:00;"LNS17100000";1965;0
2008-03-01 01:00:00;"LNS17100000";1996;0
2008-04-01 02:00:00;"LNS17100000";2122;0
2008-05-01 02:00:00;"LNS17100000";1900;0
2008-06-01 02:00:00;"LNS17100000";2016;0
2008-07-01 02:00:00;"LNS17100000";2052;0
2008-08-01 02:00:00;"LNS17100000";2087;0
2008-09-01 02:00:00;"LNS17100000";2293;0
2008-10-01 02:00:00;"LNS17100000";2139;0
2008-11-01 01:00:00;"LNS17100000";2098;0
2008-12-01 01:00:00;"LNS17100000";2080;0
2009-01-01 01:00:00;"LNS17100000";2234;0
2009-02-01 01:00:00;"LNS17100000";2293;0
2009-03-01 01:00:00;"LNS17100000";2212;0
2009-04-01 02:00:00;"LNS17100000";2493;0
2009-05-01 02:00:00;"LNS17100000";2247;0
2009-06-01 02:00:00;"LNS17100000";2609;0
2009-07-01 02:00:00;"LNS17100000";2581;0
2009-08-01 02:00:00;"LNS17100000";2399;0
2009-09-01 02:00:00;"LNS17100000";2582;0
2009-10-01 02:00:00;"LNS17100000";2318;0
2009-11-01 01:00:00;"LNS17100000";2584;0
2009-12-01 01:00:00;"LNS17100000";2355;0
2010-01-01 01:00:00;"LNS17100000";2522;0
2010-02-01 01:00:00;"LNS17100000";2480;0
2010-03-01 01:00:00;"LNS17100000";2613;0
2010-04-01 02:00:00;"LNS17100000";2757;0
2010-05-01 02:00:00;"LNS17100000";2675;0
2010-06-01 02:00:00;"LNS17100000";2371;0
2010-07-01 02:00:00;"LNS17100000";2501;0
2010-08-01 02:00:00;"LNS17100000";2465;0
2010-09-01 02:00:00;"LNS17100000";2347;0
2010-10-01 02:00:00;"LNS17100000";2463;0
2010-11-01 01:00:00;"LNS17100000";2448;0
2010-12-01 01:00:00;"LNS17100000";2612;0
2011-01-01 01:00:00;"LNS17100000";2376;0
2011-02-01 01:00:00;"LNS17100000";2308;0
2011-03-01 01:00:00;"LNS17100000";2366;0
2011-04-01 02:00:00;"LNS17100000";2252;0
2011-05-01 02:00:00;"LNS17100000";2357;0
2011-06-01 02:00:00;"LNS17100000";2398;0
2011-07-01 02:00:00;"LNS17100000";2371;0
2011-08-01 02:00:00;"LNS17100000";2375;0
2011-09-01 02:00:00;"LNS17100000";2382;0
2011-10-01 02:00:00;"LNS17100000";2509;0
2011-11-01 01:00:00;"LNS17100000";2502;0
2011-12-01 01:00:00;"LNS17100000";2482;0
2012-01-01 01:00:00;"LNS17100000";2387;0
2012-02-01 01:00:00;"LNS17100000";2343;0
2012-03-01 01:00:00;"LNS17100000";2370;0
2012-04-01 02:00:00;"LNS17100000";2242;0
2012-05-01 02:00:00;"LNS17100000";2260;0
2012-06-01 02:00:00;"LNS17100000";2248;0
2012-07-01 02:00:00;"LNS17100000";2276;0
2012-08-01 02:00:00;"LNS17100000";2229;0
2012-09-01 02:00:00;"LNS17100000";2359;0
2012-10-01 02:00:00;"LNS17100000";2351;0
2012-11-01 01:00:00;"LNS17100000";2189;0
2012-12-01 01:00:00;"LNS17100000";2145;0
2013-01-01 01:00:00;"LNS17100000";2274;0
2013-02-01 01:00:00;"LNS17100000";2333;0
2013-03-01 01:00:00;"LNS17100000";2151;0
2013-04-01 02:00:00;"LNS17100000";2196;0
2013-05-01 02:00:00;"LNS17100000";2275;0
2013-06-01 02:00:00;"LNS17100000";2291;0
2013-07-01 02:00:00;"LNS17100000";2344;0
2013-08-01 02:00:00;"LNS17100000";2162;0
2013-09-01 02:00:00;"LNS17100000";2085;0
2013-10-01 02:00:00;"LNS17100000";2050;0
