reference_date,series_code,value,IsTarget
2000-01-01,PAYEMS_perc_diff_lag_1,0.16668068,1
2000-02-01,PAYEMS_perc_diff_lag_1,0.09999466,1
2000-03-01,PAYEMS_perc_diff_lag_1,0.3561134,1
2000-04-01,PAYEMS_perc_diff_lag_1,0.22263592,1
2000-05-01,PAYEMS_perc_diff_lag_1,0.1660374,1
2000-06-01,PAYEMS_perc_diff_lag_1,-0.027248574,1
2000-07-01,PAYEMS_perc_diff_lag_1,0.13098024,1
2000-08-01,PAYEMS_perc_diff_lag_1,-0.011341812,1
2000-09-01,PAYEMS_perc_diff_lag_1,0.108893745,1
2000-10-01,PAYEMS_perc_diff_lag_1,-0.01133076,1
2000-11-01,PAYEMS_perc_diff_lag_1,0.16771425,1
2000-12-01,PAYEMS_perc_diff_lag_1,0.103326045,1
2001-01-01,PAYEMS_perc_diff_lag_1,-0.018835654,1
2001-02-01,PAYEMS_perc_diff_lag_1,0.05576404,1
2001-03-01,PAYEMS_perc_diff_lag_1,-0.021088148,1
2001-04-01,PAYEMS_perc_diff_lag_1,-0.21017265,1
2001-05-01,PAYEMS_perc_diff_lag_1,-0.030950638,1
2001-06-01,PAYEMS_perc_diff_lag_1,-0.091370404,1
2001-07-01,PAYEMS_perc_diff_lag_1,-0.08162834,1
2001-08-01,PAYEMS_perc_diff_lag_1,-0.11043956,1
2001-09-01,PAYEMS_perc_diff_lag_1,-0.18931793,1
2001-10-01,PAYEMS_perc_diff_lag_1,-0.24885625,1
2001-11-01,PAYEMS_perc_diff_lag_1,-0.22589846,1
2001-12-01,PAYEMS_perc_diff_lag_1,-0.13493116,1
2002-01-01,PAYEMS_perc_diff_lag_1,-0.11373959,1
2002-02-01,PAYEMS_perc_diff_lag_1,-0.09782044,1
2002-03-01,PAYEMS_perc_diff_lag_1,-0.013004498,1
2002-04-01,PAYEMS_perc_diff_lag_1,-0.06350081,1
2002-05-01,PAYEMS_perc_diff_lag_1,0.013014453,1
2002-06-01,PAYEMS_perc_diff_lag_1,0.039038282,1
2002-07-01,PAYEMS_perc_diff_lag_1,-0.05891715,1
2002-08-01,PAYEMS_perc_diff_lag_1,-0.0053592618,1
2002-09-01,PAYEMS_perc_diff_lag_1,-0.051298544,1
2002-10-01,PAYEMS_perc_diff_lag_1,0.08656284,1
2002-11-01,PAYEMS_perc_diff_lag_1,0.0045922818,1
2002-12-01,PAYEMS_perc_diff_lag_1,-0.13010868,1
2003-01-01,PAYEMS_perc_diff_lag_1,0.081998624,1
2003-02-01,PAYEMS_perc_diff_lag_1,-0.1117943,1
2003-03-01,PAYEMS_perc_diff_lag_1,-0.15944684,1
2003-04-01,PAYEMS_perc_diff_lag_1,-0.037621982,1
2003-05-01,PAYEMS_perc_diff_lag_1,0.00844893,1
2003-06-01,PAYEMS_perc_diff_lag_1,-0.005376138,1
2003-07-01,PAYEMS_perc_diff_lag_1,0.014593158,1
2003-08-01,PAYEMS_perc_diff_lag_1,-0.03532565,1
2003-09-01,PAYEMS_perc_diff_lag_1,0.08450423,1
2003-10-01,PAYEMS_perc_diff_lag_1,0.15735218,1
2003-11-01,PAYEMS_perc_diff_lag_1,0.0022990971,1
2003-12-01,PAYEMS_perc_diff_lag_1,0.09272812,1
2004-01-01,PAYEMS_perc_diff_lag_1,0.12786157,1
2004-02-01,PAYEMS_perc_diff_lag_1,0.044350307,1
2004-03-01,PAYEMS_perc_diff_lag_1,0.25069743,1
2004-04-01,PAYEMS_perc_diff_lag_1,0.19365217,1
2004-05-01,PAYEMS_perc_diff_lag_1,0.22599816,1
2004-06-01,PAYEMS_perc_diff_lag_1,0.0622561,1
2004-07-01,PAYEMS_perc_diff_lag_1,0.034143675,1
2004-08-01,PAYEMS_perc_diff_lag_1,0.08798477,1
2004-09-01,PAYEMS_perc_diff_lag_1,0.11897815,1
2004-10-01,PAYEMS_perc_diff_lag_1,0.26340887,1
2004-11-01,PAYEMS_perc_diff_lag_1,0.04756081,1
2004-12-01,PAYEMS_perc_diff_lag_1,0.0950764,1
2005-01-01,PAYEMS_perc_diff_lag_1,0.110817105,1
2005-02-01,PAYEMS_perc_diff_lag_1,0.18373771,1
2005-03-01,PAYEMS_perc_diff_lag_1,0.10372664,1
2005-04-01,PAYEMS_perc_diff_lag_1,0.26880914,1
2005-05-01,PAYEMS_perc_diff_lag_1,0.12880228,1
2005-06-01,PAYEMS_perc_diff_lag_1,0.18472815,1
2005-07-01,PAYEMS_perc_diff_lag_1,0.27695453,1
2005-08-01,PAYEMS_perc_diff_lag_1,0.1459115,1
2005-09-01,PAYEMS_perc_diff_lag_1,0.049061876,1
2005-10-01,PAYEMS_perc_diff_lag_1,0.063897766,1
2005-11-01,PAYEMS_perc_diff_lag_1,0.2502302,1
2005-12-01,PAYEMS_perc_diff_lag_1,0.11480376,1
2006-01-01,PAYEMS_perc_diff_lag_1,0.20862927,1
2006-02-01,PAYEMS_perc_diff_lag_1,0.2303433,1
2006-03-01,PAYEMS_perc_diff_lag_1,0.2187652,1
2006-04-01,PAYEMS_perc_diff_lag_1,0.12347584,1
2006-05-01,PAYEMS_perc_diff_lag_1,0.022756135,1
2006-06-01,PAYEMS_perc_diff_lag_1,0.057978246,1
2006-07-01,PAYEMS_perc_diff_lag_1,0.15109618,1
2006-08-01,PAYEMS_perc_diff_lag_1,0.13109423,1
2006-09-01,PAYEMS_perc_diff_lag_1,0.10824885,1
2006-10-01,PAYEMS_perc_diff_lag_1,0.008767444,1
2006-11-01,PAYEMS_perc_diff_lag_1,0.1519557,1
2006-12-01,PAYEMS_perc_diff_lag_1,0.12619448,1
2007-01-01,PAYEMS_perc_diff_lag_1,0.17047566,1
2007-02-01,PAYEMS_perc_diff_lag_1,0.06181953,1
2007-03-01,PAYEMS_perc_diff_lag_1,0.15554361,1
2007-04-01,PAYEMS_perc_diff_lag_1,0.04281692,1
2007-05-01,PAYEMS_perc_diff_lag_1,0.11098618,1
2007-06-01,PAYEMS_perc_diff_lag_1,0.055793867,1
2007-07-01,PAYEMS_perc_diff_lag_1,-0.021725748,1
2007-08-01,PAYEMS_perc_diff_lag_1,-0.020281771,1
2007-09-01,PAYEMS_perc_diff_lag_1,0.06955161,1
2007-10-01,PAYEMS_perc_diff_lag_1,0.056471407,1
2007-11-01,PAYEMS_perc_diff_lag_1,0.07669988,1
2007-12-01,PAYEMS_perc_diff_lag_1,0.07519504,1
2008-01-01,PAYEMS_perc_diff_lag_1,0.0057798875,1
2008-02-01,PAYEMS_perc_diff_lag_1,-0.058517978,1
2008-03-01,PAYEMS_perc_diff_lag_1,-0.039757695,1
2008-04-01,PAYEMS_perc_diff_lag_1,-0.16560243,1
2008-05-01,PAYEMS_perc_diff_lag_1,-0.13328119,1
2008-06-01,PAYEMS_perc_diff_lag_1,-0.111699425,1
2008-07-01,PAYEMS_perc_diff_lag_1,-0.15466613,1
2008-08-01,PAYEMS_perc_diff_lag_1,-0.20145015,1
2008-09-01,PAYEMS_perc_diff_lag_1,-0.32282513,1
2008-10-01,PAYEMS_perc_diff_lag_1,-0.34726536,1
2008-11-01,PAYEMS_perc_diff_lag_1,-0.5568272,1
2008-12-01,PAYEMS_perc_diff_lag_1,-0.5215826,1
2009-01-01,PAYEMS_perc_diff_lag_1,-0.58364606,1
2009-02-01,PAYEMS_perc_diff_lag_1,-0.5251576,1
2009-03-01,PAYEMS_perc_diff_lag_1,-0.6014203,1
2009-04-01,PAYEMS_perc_diff_lag_1,-0.53112435,1
2009-05-01,PAYEMS_perc_diff_lag_1,-0.2684971,1
2009-06-01,PAYEMS_perc_diff_lag_1,-0.3566784,1
2009-07-01,PAYEMS_perc_diff_lag_1,-0.26102486,1
2009-08-01,PAYEMS_perc_diff_lag_1,-0.1499847,1
2009-09-01,PAYEMS_perc_diff_lag_1,-0.17550044,1
2009-10-01,PAYEMS_perc_diff_lag_1,-0.1604545,1
2009-11-01,PAYEMS_perc_diff_lag_1,0.009227504,1
2009-12-01,PAYEMS_perc_diff_lag_1,-0.2129819,1
2010-01-01,PAYEMS_perc_diff_lag_1,0.013869518,1
2010-02-01,PAYEMS_perc_diff_lag_1,-0.056240804,1
2010-03-01,PAYEMS_perc_diff_lag_1,0.14877512,1
2010-04-01,PAYEMS_perc_diff_lag_1,0.170106,1
2010-05-01,PAYEMS_perc_diff_lag_1,0.4011065,1
2010-06-01,PAYEMS_perc_diff_lag_1,-0.10714668,1
2010-07-01,PAYEMS_perc_diff_lag_1,-0.05976004,1
2010-08-01,PAYEMS_perc_diff_lag_1,-0.0122658,1
2010-09-01,PAYEMS_perc_diff_lag_1,-0.048302513,1
2010-10-01,PAYEMS_perc_diff_lag_1,0.20480958,1
2010-11-01,PAYEMS_perc_diff_lag_1,0.09875069,1
2010-12-01,PAYEMS_perc_diff_lag_1,0.055827044,1
2011-01-01,PAYEMS_perc_diff_lag_1,0.0336304,1
2011-02-01,PAYEMS_perc_diff_lag_1,0.13906081,1
2011-03-01,PAYEMS_perc_diff_lag_1,0.19380437,1
2011-04-01,PAYEMS_perc_diff_lag_1,0.2459753,1
2011-05-01,PAYEMS_perc_diff_lag_1,0.06153285,1
2011-06-01,PAYEMS_perc_diff_lag_1,0.17765225,1
2011-07-01,PAYEMS_perc_diff_lag_1,0.054565296,1
2011-08-01,PAYEMS_perc_diff_lag_1,0.08483306,1
2011-09-01,PAYEMS_perc_diff_lag_1,0.17633347,1
2011-10-01,PAYEMS_perc_diff_lag_1,0.15789196,1
2011-11-01,PAYEMS_perc_diff_lag_1,0.109369576,1
2011-12-01,PAYEMS_perc_diff_lag_1,0.15144323,1
2012-01-01,PAYEMS_perc_diff_lag_1,0.26180375,1
2012-02-01,PAYEMS_perc_diff_lag_1,0.17483042,1
2012-03-01,PAYEMS_perc_diff_lag_1,0.1977454,1
2012-04-01,PAYEMS_perc_diff_lag_1,0.05382413,1
2012-05-01,PAYEMS_perc_diff_lag_1,0.087417156,1
2012-06-01,PAYEMS_perc_diff_lag_1,0.05076218,1
2012-07-01,PAYEMS_perc_diff_lag_1,0.116395324,1
2012-08-01,PAYEMS_perc_diff_lag_1,0.12892936,1
2012-09-01,PAYEMS_perc_diff_lag_1,0.14439358,1
2012-10-01,PAYEMS_perc_diff_lag_1,0.11371322,1
2012-11-01,PAYEMS_perc_diff_lag_1,0.09650933,1
2012-12-01,PAYEMS_perc_diff_lag_1,0.18022428,1
2013-01-01,PAYEMS_perc_diff_lag_1,0.15324819,1
2013-02-01,PAYEMS_perc_diff_lag_1,0.1958871,1
2013-03-01,PAYEMS_perc_diff_lag_1,0.11508923,1
2013-04-01,PAYEMS_perc_diff_lag_1,0.1319057,1
2013-05-01,PAYEMS_perc_diff_lag_1,0.17662384,1
2013-06-01,PAYEMS_perc_diff_lag_1,0.11607235,1
2013-07-01,PAYEMS_perc_diff_lag_1,0.081449956,1
2013-08-01,PAYEMS_perc_diff_lag_1,0.19062841,1
2013-09-01,PAYEMS_perc_diff_lag_1,0.14709003,1
2013-10-01,PAYEMS_perc_diff_lag_1,0.15345044,1
2013-11-01,PAYEMS_perc_diff_lag_1,0.1612409,1
2013-12-01,PAYEMS_perc_diff_lag_1,0.06774327,1
2014-01-01,PAYEMS_perc_diff_lag_1,0.12665968,1
2014-02-01,PAYEMS_perc_diff_lag_1,0.13231552,1
2014-03-01,PAYEMS_perc_diff_lag_1,0.18949844,1
2014-04-01,PAYEMS_perc_diff_lag_1,0.22537374,1
2014-05-01,PAYEMS_perc_diff_lag_1,0.18220732,1
2014-06-01,PAYEMS_perc_diff_lag_1,0.22084934,1
2014-07-01,PAYEMS_perc_diff_lag_1,0.14114733,1
2014-08-01,PAYEMS_perc_diff_lag_1,0.1625221,1
2014-09-01,PAYEMS_perc_diff_lag_1,0.20389995,1
2014-10-01,PAYEMS_perc_diff_lag_1,0.18270664,1
2014-11-01,PAYEMS_perc_diff_lag_1,0.2195633,1
2014-12-01,PAYEMS_perc_diff_lag_1,0.1791194,1
2015-01-01,PAYEMS_perc_diff_lag_1,0.15030524,1
2015-02-01,PAYEMS_perc_diff_lag_1,0.18991123,1
2015-03-01,PAYEMS_perc_diff_lag_1,0.05537452,1
2015-04-01,PAYEMS_perc_diff_lag_1,0.2000894,1
2015-05-01,PAYEMS_perc_diff_lag_1,0.23084712,1
2015-06-01,PAYEMS_perc_diff_lag_1,0.13493942,1
2015-07-01,PAYEMS_perc_diff_lag_1,0.18061748,1
2015-08-01,PAYEMS_perc_diff_lag_1,0.11549947,1
2015-09-01,PAYEMS_perc_diff_lag_1,0.061903823,1
2015-10-01,PAYEMS_perc_diff_lag_1,0.24675909,1
2015-11-01,PAYEMS_perc_diff_lag_1,0.18513973,1
2015-12-01,PAYEMS_perc_diff_lag_1,0.16379787,1
2016-01-01,PAYEMS_perc_diff_lag_1,0.07198116,1
2016-02-01,PAYEMS_perc_diff_lag_1,0.1794743,1
2016-03-01,PAYEMS_perc_diff_lag_1,0.16381672,1
2016-04-01,PAYEMS_perc_diff_lag_1,0.12109571,1
2016-05-01,PAYEMS_perc_diff_lag_1,0.02363376,1
2016-06-01,PAYEMS_perc_diff_lag_1,0.19805971,1
2016-07-01,PAYEMS_perc_diff_lag_1,0.22541112,1
2016-08-01,PAYEMS_perc_diff_lag_1,0.121102236,1
2016-09-01,PAYEMS_perc_diff_lag_1,0.1824704,1
